Portfolio ID,Portfolio External ID,Portfolio Name,Portfolio Type,Portfolio Currency,Position Name,Position Type,Position Sub Type,Position Weight,Position Currency,Position Market Value,Position Original Currency,Position Original Market Value,Position Date,Position ISIN,Footprint Overall Score,Footprint BiodiversityAndLand Score,Footprint Economy Score,Footprint EducationAndKnowledge Score,Footprint Environment Score,Footprint Health Score,Footprint MarketsAndInfrastructure Score,Footprint Nutrition Score,Footprint ResourcesAndClimate Score,Footprint Society Score,Footprint TaxTransparency Score,Footprint TechnologyAndInnovation Score,Footprint Water Score,Footprint Work Score,Manual Footprint,Megatrend Overall Revenue,Megatrend Automation Revenue,Megatrend ClimateAndEnergy Revenue,Megatrend Consumption Revenue,Megatrend Digitalization Revenue,Megatrend Health Revenue,Megatrend KnowledgeSociety Revenue,Megatrend Mobility Revenue,Megatrend ShortageOfResources Revenue,Megatrend Urbanization Revenue,Manual Megatrend,Climate Combined Celsius,Climate Source,Climate MSCI Total Overshoot,Climate MSCI Total Budget,Climate MSCI Evic USD,Climate MSCI Evic Year,Manual Climate,Security Climate Coverage,ignoreCoverageLimit
--nOvJSDl2NvDL1cn7eVD,900000203,Globalance Balanced Portfolio CHF (Einzeltitel),GlobalancePortfolio,USD,CHF,Cash,,0.025,USD,2.5,CHF,,2025-04-10T00:00:00.000Z,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,0
--nOvJSDl2NvDL1cn7eVD,900000203,Globalance Balanced Portfolio CHF (Einzeltitel),GlobalancePortfolio,USD,BlackRock Investment Funds Switzerland - iShares SBI AAA-BBB(R) Bond Index Fund (CH) Anteile -I CHF-,Security,Fund,0.02,USD,2,CHF,,2025-04-10T00:00:00.000Z,CH0342181937,0.67,0.64,0.69,,0.66,0.52,0.64,0.45,0.66,0.79,0.69,,0.52,0.64,1,0.33,0.03,0.02,0.02,0.06,0.12,0.05,0.01,0.07,0.12,1,2.06,,,,,,1,,0
--nOvJSDl2NvDL1cn7eVD,900000203,Globalance Balanced Portfolio CHF (Einzeltitel),GlobalancePortfolio,USD,Goldman Sachs Funds III SICAV - Goldman Sachs Green Bond -I CAP CHF (hedged i)- Capitalisation,Security,Fund,0.04,USD,4,CHF,,2025-04-10T00:00:00.000Z,LU2530001986,0.86,0.86,0.86,,0.86,,0.86,,0.86,,,,0.86,,1,,,,,,,,,,,0,1.66,,,,,,1,,0
--nOvJSDl2NvDL1cn7eVD,900000203,Globalance Balanced Portfolio CHF (Einzeltitel),GlobalancePortfolio,USD,BlackRock Fixed Income Dublin Funds PLC - iShares Green Bond Index Fund (IE) Accum D Hedged CHF,Security,Fund,0.04,USD,4,CHF,,2025-04-10T00:00:00.000Z,IE00BD8QG026,0.86,0.86,0.86,,0.86,,0.86,,0.86,,,,0.86,,1,,,,,,,,,,,0,1.66,,,,,,1,,0
--nOvJSDl2NvDL1cn7eVD,900000203,Globalance Balanced Portfolio CHF (Einzeltitel),GlobalancePortfolio,USD,Nordea 1 SICAV - Danish Covered Bond Fund -HBI-CHF- Capitalisation,Security,Fund,0.04,USD,4,CHF,,2025-04-10T00:00:00.000Z,LU0705249539,0.67,,0.67,,0.67,,0.67,,0.67,,,,,,1,,,,,,,,,,,0,2.4,,,,,,1,,0
--nOvJSDl2NvDL1cn7eVD,900000203,Globalance Balanced Portfolio CHF (Einzeltitel),GlobalancePortfolio,USD,Swisscanto (LU) Bond Fund FCP - Swisscanto (LU) Bond Fund Sustainable Global Credit Units -DT- Capitalisation,Security,Fund,0.03,USD,3,CHF,,2025-04-10T00:00:00.000Z,LU1813279285,0.64,0.57,0.62,,0.77,0.54,0.66,0.54,0.79,0.53,0.72,,0.54,0.58,1,0.6,0.06,0.09,0.06,0.22,0.21,0.09,0.05,0.08,0.13,1,2,,,,,,1,,0
--nOvJSDl2NvDL1cn7eVD,900000203,Globalance Balanced Portfolio CHF (Einzeltitel),GlobalancePortfolio,USD,Robeco Capital Growth Funds SICAV - Robeco Global SDG Credits -IH CHF- Capitalisation,Security,Fund,0.06,USD,6,CHF,,2025-04-10T00:00:00.000Z,LU1994987623,0.66,0.53,0.57,0.66,0.77,0.53,0.59,0.54,0.8,0.6,0.69,,0.54,0.53,1,,,,,,,,,,,0,2.249376883,,,,,,0,0.8239781000000000,0
--nOvJSDl2NvDL1cn7eVD,900000203,Globalance Balanced Portfolio CHF (Einzeltitel),GlobalancePortfolio,USD,Schroder International Selection Fund SICAV - BlueOrchard Emerging Markets Impact Bond -C CHF Hedged- Capitalisation,Security,Fund,0.02,USD,2,CHF,,2025-04-10T00:00:00.000Z,LU2498533301,0.6,,0.63,0.86,0.57,0.39,0.64,,0.57,0.67,0.78,,0.67,0.7,1,0.19,0,0.03,0,0.11,0.02,0.05,0.02,0.02,0.06,1,2.41,,,,,,1,,0
--nOvJSDl2NvDL1cn7eVD,900000203,Globalance Balanced Portfolio CHF (Einzeltitel),GlobalancePortfolio,USD,DPAM L SICAV - DPAM L Bonds Emerging Markets Sustainable F Capitalisation,Security,Fund,0.02,USD,2,CHF,,2025-04-10T00:00:00.000Z,LU0907928062,0.58,,0.6,,0.55,,0.89,,0.52,0.57,,,,0.88,1,,,,,,,,,,,0,3.11,,,,,,1,,0
--nOvJSDl2NvDL1cn7eVD,900000203,Globalance Balanced Portfolio CHF (Einzeltitel),GlobalancePortfolio,USD,Twelve Capital UCITS ICAV - Twelve Cat Bond Fund Accum-SI1- CHF,Security,Fund,0.02,USD,2,CHF,,2025-04-10T00:00:00.000Z,IE00BKF1PT11,0.78,,0.83,,0.67,0.83,0.83,,0.67,0.83,,,,,1,,,,,,,,,,,0,,,,,,,0,,0
